sentence,suggested ellipsis resolution,ellipsis type,source
"Работа с двухбайтовыми наборами символов — просто кошмар для программиста, так как часть их состоит из одного байта, а часть — __ из двух.",состоит,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Выворачивает наизнанку, запад превращает в юг, а север — __ в восток, меняет местами добро и зло, велит открыть своё сердце, ничего не требуя взамен.",превращает,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Текущие обязательства компании в 2009 г. сократились на 16% - до 135.3 млн. грн., долгосрочные обязательства уменьшились на 1.7% - до 71.8 млн. грн., а дебиторская задолженность - __ на 3% до 87.7 млн. грн.",уменьшилась,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Первая конвенция была ратифицирована 80 процентами государств – членов МОТ, а вторая – __ 87 процентами этих государств.",была ратифицирована,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Но Христианин сказал Упрямому: — Нет, сосед, лучше ты последуй примеру Сговорчивого. Мы в самом деле там получим то, о чем я сейчас говорил, а сверх того — __ великую славу.",мы получим,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Средний срок действия контрактов в 2000 году для консультантов увеличился на 16 дней, а для индивидуальных подрядчиков — __ на 15 дней.",увеличился,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"В наше время скромность принимают за высокомерие, а доброту __ за слабость .",принимают,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Закон состоит в том, что все вещества, которые разлагаются батареей, являются в жидком состоянии проводниками, а в твердом состоянии __ непроводниками электричества гальванической батареи (393, 394, 404, 407, 413, 505, 676, 679, 697 и др).",являются,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Неправильное или слишком быстрое разогревание воска может привести к ожогам, а при хрупкости капилляров __ к появлению сосудистых звездочек на коже.",может привести,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Первая группа ворвалась в дом к Идрисовым, вторая __ к Кушаевым.",ворвалась в дом,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Сегодня котировки акций на РТС составляют 0,0073 рубля, на ММВБ – __ 0,0069 рубля.",составляют,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Плановый уровень доходов республиканского бюджета был увеличен на 14.7% по сравнению с первоначальным уровнем, а __ расходов __ на 13.3%.","плановый уровень, был увеличен","NP-ellipsis, gapping",https://github.com/dialogue-evaluation/AGRR-2019
В данном случае форма напрямую зависит от запроса и косвенно — __ от таблиц.,зависит,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Доля данной группы кредитных организаций в активах банковского сектора на 1.01.2007 составила 41,2%, в капитале — __ 35,5% (на 1.01.2006 — __ 45,8 и 38,7% соответственно).","составила, составила",gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Я откликнусь на дурака, ты __ на дуру.",откликнешься,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Огонь твоей любви защищает нас от бед и ошибок, а материнская молитва — __ от неправильных поступков.",защищает нас,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"За ними по обе стороны Дэвин увидел работающих в поле людей, некоторые из них были наемными мирянами, некоторые __ жрецами, одетыми не в церемониальный белый цвет, а в поношенные светло-коричневые одежды.",были,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Котировки на нефть за январь-февраль 2011 года выросли на 13,5%, за май 2010 года - февраль 2011 года - __ на 37%.",выросли,gapping,https://github.com/dialogue-evaluation/AGRR-2019
